Year,District,Rainfall,Temperature,Production,Market_Price,Demand
2015,Shivamogga,1660,24.9,1071,310,993
2015,Dakshina Kannada,2969,24.8,1330,324,1280
2015,Chikkamagaluru,930,24.1,1769,337,1695
2015,Uttara Kannada,3233,24.9,1276,282,1135
2015,Tumkur,821,24,1856,298,1704
2015,Udupi,3358,24.7,1475,309,1323
2015,Hassan,989,24.5,1957,300,1760
2015,Kodagu,2067,27,1130,300,1060
2015,Mysuru,3014,24.1,1600,309,1477
2015,Davanagere,2841,25.5,1564,251,1468
2016,Shivamogga,2190,27.4,1427,257,1219
2016,Dakshina Kannada,3053,26,1561,253,1390
2016,Chikkamagaluru,3413,26.7,1821,342,1777
2016,Uttara Kannada,2379,28.7,1957,349,1815
2016,Tumkur,1615,25.6,1461,336,1340
2016,Udupi,3143,28.2,1748,331,1608
2016,Hassan,1591,25.8,1763,309,1622
2016,Kodagu,1980,28,1064,338,1040
2016,Mysuru,2167,26,1647,337,1402
2016,Davanagere,2322,27.5,1674,284,1590
2017,Shivamogga,2596,28.6,1040,277,1000
2017,Dakshina Kannada,2663,26.2,1032,297,926
2017,Chikkamagaluru,2551,27.3,1683,335,1624
2017,Uttara Kannada,1760,25.9,1942,327,1865
2017,Tumkur,1828,26.8,1766,263,1614
2017,Udupi,1192,27.6,1857,291,1684
2017,Hassan,1663,27.2,1563,345,1469
2017,Kodagu,3332,25.2,1748,264,1657
2017,Mysuru,1859,28.7,1838,308,1728
2017,Davanagere,2619,28.6,1556,311,1450
2018,Shivamogga,3493,26.3,1619,293,1463
2018,Dakshina Kannada,2781,26.7,1505,341,1348
2018,Chikkamagaluru,3037,24.6,1376,276,1246
2018,Uttara Kannada,3475,25.8,1258,319,1152
2018,Tumkur,1448,26.4,1224,300,1083
2018,Udupi,1463,28.7,1373,281,1259
2018,Hassan,1936,24.3,1441,301,1271
2018,Kodagu,2436,25.4,1080,308,1003
2018,Mysuru,1441,26.1,1854,345,1794
2018,Davanagere,2461,24.7,1683,339,1646
2019,Shivamogga,2239,27,1438,324,1291
2019,Dakshina Kannada,1200,27.6,1279,318,1192
2019,Chikkamagaluru,997,26,1510,265,1447
2019,Uttara Kannada,1947,26.5,1463,342,1406
2019,Tumkur,2755,24.1,1962,268,1756
2019,Udupi,2534,24.9,1928,289,1735
2019,Hassan,3185,28.2,1778,341,1681
2019,Kodagu,2769,28.6,1989,291,1757
2019,Mysuru,2587,24.9,1623,309,1434
2019,Davanagere,2127,28.8,1452,286,1400
2020,Shivamogga,2856,25.4,1658,297,1591
2020,Dakshina Kannada,1203,28.4,1119,282,1044
2020,Chikkamagaluru,1386,28.7,1419,287,1329
2020,Uttara Kannada,1053,24,1509,338,1412
2020,Tumkur,2684,25.4,1877,331,1713
2020,Udupi,1756,25.1,1160,317,1021
2020,Hassan,2100,24.9,1503,257,1443
2020,Kodagu,1200,25.5,1687,325,1545
2020,Mysuru,1269,25.3,1749,279,1707
2020,Davanagere,1362,28.5,1282,276,1222
2021,Shivamogga,1597,27.2,1878,313,1807
2021,Dakshina Kannada,1615,25.4,1546,313,1443
2021,Chikkamagaluru,816,29,1157,342,1025
2021,Uttara Kannada,3365,25.9,1744,286,1692
2021,Tumkur,3344,26.8,1606,348,1569
2021,Udupi,1939,25.5,1980,281,1902
2021,Hassan,927,25.9,1734,303,1630
2021,Kodagu,2695,24.4,1625,281,1523
2021,Mysuru,2486,24.7,1154,251,1029
2021,Davanagere,1045,25.8,1476,291,1409
2022,Shivamogga,2690,25.3,1407,262,1210
2022,Dakshina Kannada,835,28,1320,257,1242
2022,Chikkamagaluru,1199,24.3,1882,336,1606
2022,Uttara Kannada,1633,26.2,1958,335,1747
2022,Tumkur,1374,28.9,1149,307,1105
2022,Udupi,3152,24.2,1837,264,1647
2022,Hassan,3291,25.6,1263,302,1118
2022,Kodagu,804,26.3,1773,345,1629
2022,Mysuru,846,27.5,1935,301,1678
2022,Davanagere,1169,26.6,1669,268,1591
2023,Shivamogga,1630,26.2,1057,304,932
2023,Dakshina Kannada,916,24.4,1126,258,1057
2023,Chikkamagaluru,2464,24.9,1512,283,1332
2023,Uttara Kannada,1941,27.6,1487,250,1448
2023,Tumkur,1503,26.8,1789,342,1618
2023,Udupi,953,25.8,1996,335,1700
2023,Hassan,2043,24.2,1093,311,1029
2023,Kodagu,2027,24.1,1473,297,1406
2023,Mysuru,2435,24.9,1733,272,1483
2023,Davanagere,2581,27.2,1801,301,1618
2024,Shivamogga,3289,26.5,1324,253,1231
2024,Dakshina Kannada,1135,27.2,1496,341,1385
2024,Chikkamagaluru,1651,26.9,1689,284,1576
2024,Uttara Kannada,1756,26.7,1612,261,1451
2024,Tumkur,2240,27.3,1042,293,922
2024,Udupi,811,24.5,1897,284,1695
2024,Hassan,889,25.6,1921,323,1638
2024,Kodagu,1217,25.3,1902,317,1788
2024,Mysuru,2449,27.1,1412,285,1276
2024,Davanagere,1475,24.9,1456,273,1390